@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
122,21,11,12,111,0.097561,0.65625,0.636364,0.65625,0.363636,0.646154,0.212903,3.082386,0.743307
123,20,12,12,111,0.097561,0.625,0.625,0.625,0.375,0.625,0.206452,3.027344,0.797841
124,20,12,11,112,0.089431,0.625,0.645161,0.625,0.354839,0.634921,0.2,3.125,0.842644
125,19,13,11,112,0.089431,0.59375,0.633333,0.59375,0.366667,0.612903,0.193548,3.067708,0.866361
126,18,14,11,112,0.089431,0.5625,0.62069,0.5625,0.37931,0.590164,0.187097,3.006466,0.88449
127,18,14,10,113,0.081301,0.5625,0.642857,0.5625,0.357143,0.6,0.180645,3.113839,0.88715
128,18,14,9,114,0.073171,0.5625,0.666667,0.5625,0.333333,0.610169,0.174194,3.229167,0.894277
129,18,14,8,115,0.065041,0.5625,0.692308,0.5625,0.307692,0.62069,0.167742,3.353365,0.910168
130,17,15,8,115,0.065041,0.53125,0.68,0.53125,0.32,0.596491,0.16129,3.29375,0.928587
131,16,16,8,115,0.065041,0.5,0.666667,0.5,0.333333,0.571429,0.154839,3.229167,0.929473
132,16,16,7,116,0.056911,0.5,0.695652,0.5,0.304348,0.581818,0.148387,3.369565,0.935055
133,15,17,7,116,0.056911,0.46875,0.681818,0.46875,0.318182,0.555556,0.141935,3.302557,0.967915
134,15,17,6,117,0.04878,0.46875,0.714286,0.46875,0.285714,0.566038,0.135484,3.459821,0.986969
135,14,18,6,117,0.04878,0.4375,0.7,0.4375,0.3,0.538462,0.129032,3.390625,0.988634
136,14,18,5,118,0.04065,0.4375,0.736842,0.4375,0.263158,0.54902,0.122581,3.569079,0.991312
137,14,18,4,119,0.03252,0.4375,0.777778,0.4375,0.222222,0.56,0.116129,3.767361,0.996322
138,13,19,4,119,0.03252,0.40625,0.764706,0.40625,0.235294,0.530612,0.109677,3.704044,0.99834
139,12,20,4,119,0.03252,0.375,0.75,0.375,0.25,0.5,0.103226,3.632813,0.998496
140,11,21,4,119,0.03252,0.34375,0.733333,0.34375,0.266667,0.468085,0.096774,3.552083,0.999528
141,10,22,4,119,0.03252,0.3125,0.714286,0.3125,0.285714,0.434783,0.090323,3.459821,0.999653
142,9,23,4,119,0.03252,0.28125,0.692308,0.28125,0.307692,0.4,0.083871,3.353365,0.999756
143,8,24,4,119,0.03252,0.25,0.666667,0.25,0.333333,0.363636,0.077419,3.229167,0.999786
144,7,25,4,119,0.03252,0.21875,0.636364,0.21875,0.363636,0.325581,0.070968,3.082386,0.999847
145,7,25,3,120,0.02439,0.21875,0.7,0.21875,0.3,0.333333,0.064516,3.390625,0.999872
146,7,25,2,121,0.01626,0.21875,0.777778,0.21875,0.222222,0.341463,0.058065,3.767361,0.99992
147,6,26,2,121,0.01626,0.1875,0.75,0.1875,0.25,0.3,0.051613,3.632813,0.999957
148,5,27,2,121,0.01626,0.15625,0.714286,0.15625,0.285714,0.25641,0.045161,3.459821,1
149,4,28,2,121,0.01626,0.125,0.666667,0.125,0.333333,0.210526,0.03871,3.229167,1
150,3,29,2,121,0.01626,0.09375,0.6,0.09375,0.4,0.162162,0.032258,2.90625,1
151,3,29,1,122,0.00813,0.09375,0.75,0.09375,0.25,0.166667,0.025806,?,1
152,2,30,1,122,0.00813,0.0625,0.666667,0.0625,0.333333,0.114286,0.019355,?,1
153,2,30,0,123,0,0.0625,1,0.0625,0,0.117647,0.012903,?,1
154,0,32,0,123,0,0,?,0,?,?,0,?,1.00001
